"irep","paramid","h_search","lindist","nind","net","mutrate","nbiallelic","ngraphs","min_nethw","atleastonehashmatch","min_treehw","max_ndisplayed","mean_ndisplayed","relativell"
1,"1-0.5-10000-1.25e-08-fleg",4,0.5,1,"fleg",1.25e-08,10000,8770,6,FALSE,0,2,0.141619156214367,7.45245448769
1,"1-0.5-1e+05-1.25e-07-fleg",0,0.5,1,"fleg",1.25e-07,1e+05,5,12,FALSE,2,1,0.2,-28.5485851705737
1,"1-0.5-1e+05-1.25e-07-fleg",1,0.5,1,"fleg",1.25e-07,1e+05,8,6,FALSE,2,1,1,-3.54415566717579
1,"1-0.5-1e+05-1.25e-07-fleg",4,0.5,1,"fleg",1.25e-07,1e+05,4791,6,FALSE,0,2,0.665623043206011,7.44043292095737
1,"1-0.5-1e+05-1.25e-08-fleg",0,0.5,1,"fleg",1.25e-08,1e+05,5,12,FALSE,2,1,0.2,-48.3893020445425
1,"1-0.5-1e+05-1.25e-08-fleg",1,0.5,1,"fleg",1.25e-08,1e+05,6,6,FALSE,2,1,1,-7.8521640757898
1,"1-0.5-1e+05-1.25e-08-fleg",4,0.5,1,"fleg",1.25e-08,1e+05,2845,4,FALSE,0,2,1.03796133567663,8.95008432746107
1,"1-0.7-10000-1.25e-07-fleg",0,0.7,1,"fleg",1.25e-07,10000,15,12,FALSE,2,1,0.0666666666666667,-0.618193001953079
1,"1-0.7-10000-1.25e-07-fleg",1,0.7,1,"fleg",1.25e-07,10000,509,6,FALSE,0,2,0.165029469548134,2.97579839490703
1,"1-0.7-10000-1.25e-07-fleg",4,0.7,1,"fleg",1.25e-07,10000,11940,6,FALSE,0,2,0.202010050251256,10.7102586665042
1,"1-0.7-10000-1.25e-08-fleg",0,0.7,1,"fleg",1.25e-08,10000,5,12,FALSE,2,1,0.2,-4.87425134047398
1,"1-0.7-10000-1.25e-08-fleg",1,0.7,1,"fleg",1.25e-08,10000,335,6,FALSE,0,2,0.334328358208955,1.68358314132522
1,"1-0.7-10000-1.25e-08-fleg",4,0.7,1,"fleg",1.25e-08,10000,6375,6,FALSE,0,2,0.286117647058824,12.8072111488227
1,"1-0.7-1e+05-1.25e-07-fleg",0,0.7,1,"fleg",1.25e-07,1e+05,5,12,FALSE,2,1,0.2,-32.829682421783
1,"1-0.7-1e+05-1.25e-07-fleg",1,0.7,1,"fleg",1.25e-07,1e+05,5,12,FALSE,2,1,0.4,116.926712966675
1,"1-0.7-1e+05-1.25e-07-fleg",4,0.7,1,"fleg",1.25e-07,1e+05,125,10,FALSE,0,2,0.456,213.076272549753
1,"1-0.7-1e+05-1.25e-08-fleg",0,0.7,1,"fleg",1.25e-08,1e+05,5,12,FALSE,2,1,0.2,-47.8650279963989
1,"1-0.7-1e+05-1.25e-08-fleg",1,0.7,1,"fleg",1.25e-08,1e+05,13,6,FALSE,2,1,0.846153846153846,-7.57896765495352
1,"1-0.7-1e+05-1.25e-08-fleg",4,0.7,1,"fleg",1.25e-08,1e+05,2570,6,FALSE,0,2,0.963813229571984,12.2059628547508
1,"10-0-10000-1.25e-07-fleg",0,0,10,"fleg",1.25e-07,10000,5,12,FALSE,2,1,0.2,-13.6092165495193
1,"10-0-10000-1.25e-07-fleg",1,0,10,"fleg",1.25e-07,10000,55,6,FALSE,0,2,0.545454545454545,-0.964978796871932
1,"10-0-10000-1.25e-07-fleg",4,0,10,"fleg",1.25e-07,10000,4675,4,FALSE,0,2,0.463743315508021,11.3319655297903
1,"10-0-10000-1.25e-08-fleg",0,0,10,"fleg",1.25e-08,10000,5,12,FALSE,2,1,0.2,-7.69879042546128
1,"10-0-10000-1.25e-08-fleg",1,0,10,"fleg",1.25e-08,10000,123,6,FALSE,0,2,0.943089430894309,0.203220365851394
1,"10-0-10000-1.25e-08-fleg",4,0,10,"fleg",1.25e-08,10000,7617,0,TRUE,0,2,0.860706314822108,6.07206804516582
1,"10-0-1e+05-1.25e-07-fleg",0,0,10,"fleg",1.25e-07,1e+05,5,12,FALSE,2,1,0.2,-78.9979960002757
1,"10-0-1e+05-1.25e-07-fleg",1,0,10,"fleg",1.25e-07,1e+05,5,6,FALSE,2,1,1,-15.4948099997406
1,"10-0-1e+05-1.25e-07-fleg",4,0,10,"fleg",1.25e-07,1e+05,2235,4,FALSE,0,2,1.20850111856823,4.44879237680782
1,"10-0-1e+05-1.25e-08-fleg",0,0,10,"fleg",1.25e-08,1e+05,5,12,FALSE,2,1,0.2,-110.245951332538
1,"10-0-1e+05-1.25e-08-fleg",1,0,10,"fleg",1.25e-08,1e+05,6,6,FALSE,2,1,1,-35.517915142717
1,"10-0-1e+05-1.25e-08-fleg",4,0,10,"fleg",1.25e-08,1e+05,2160,4,FALSE,0,2,1.1162037037037,4.53795173448788
1,"10-0.15-10000-1.25e-07-fleg",0,0.15,10,"fleg",1.25e-07,10000,5,12,FALSE,0,1,0.4,-4.04625841875158
1,"10-0.15-10000-1.25e-07-fleg",1,0.15,10,"fleg",1.25e-07,10000,135,6,FALSE,0,2,0.844444444444444,0.563364725164443
