"paramid","h_search","lindist","nind","net","mutrate","nbiallelic","prop_min_nethw_eq_0","prop_min_hashmatch","prop_min_treehw_eq_0","ngraphs","prop_max_ndisp_eq_2"
"1-0-10000-1.25e-07-fleg-pruned",0,0,1,"fleg-pruned",1.25e-07,10000,0,0,0.43,500,0
"1-0-10000-1.25e-07-fleg-pruned",1,0,1,"fleg-pruned",1.25e-07,10000,0.93,0.93,0.97,19104,0.95
"1-0-10000-1.25e-07-fleg-pruned",2,0,1,"fleg-pruned",1.25e-07,10000,0.07,0.09,0.99,204145,0.99
"1-0-10000-1.25e-08-fleg-pruned",0,0,1,"fleg-pruned",1.25e-08,10000,0,0,0.37,500,0
"1-0-10000-1.25e-08-fleg-pruned",1,0,1,"fleg-pruned",1.25e-08,10000,0.97,0.97,1,18055,0.97
"1-0-10000-1.25e-08-fleg-pruned",2,0,1,"fleg-pruned",1.25e-08,10000,0.09,0.11,1,206628,1
"1-0-1e+05-1.25e-07-fleg-pruned",0,0,1,"fleg-pruned",1.25e-07,1e+05,0,0,0.24,500,0
"1-0-1e+05-1.25e-07-fleg-pruned",1,0,1,"fleg-pruned",1.25e-07,1e+05,1,1,1,3779,1
"1-0-1e+05-1.25e-07-fleg-pruned",2,0,1,"fleg-pruned",1.25e-07,1e+05,0.09,0.14,1,76749,1
"1-0-1e+05-1.25e-08-fleg-pruned",0,0,1,"fleg-pruned",1.25e-08,1e+05,0,0,0.09,500,0
"1-0-1e+05-1.25e-08-fleg-pruned",1,0,1,"fleg-pruned",1.25e-08,1e+05,0.98,0.98,0.99,2387,0.98
"1-0-1e+05-1.25e-08-fleg-pruned",2,0,1,"fleg-pruned",1.25e-08,1e+05,0.09,0.13,1,66523,1
"1-0.15-10000-1.25e-07-fleg-pruned",0,0.15,1,"fleg-pruned",1.25e-07,10000,0,0,0.42,500,0
"1-0.15-10000-1.25e-07-fleg-pruned",1,0.15,1,"fleg-pruned",1.25e-07,10000,0.94,0.94,0.99,19806,0.97
"1-0.15-10000-1.25e-07-fleg-pruned",2,0.15,1,"fleg-pruned",1.25e-07,10000,0.03,0.04,1,229393,1
"1-0.15-10000-1.25e-08-fleg-pruned",0,0.15,1,"fleg-pruned",1.25e-08,10000,0,0,0.32,500,0
"1-0.15-10000-1.25e-08-fleg-pruned",1,0.15,1,"fleg-pruned",1.25e-08,10000,0.93,0.93,0.98,16604,0.98
"1-0.15-10000-1.25e-08-fleg-pruned",2,0.15,1,"fleg-pruned",1.25e-08,10000,0.09,0.09,1,195213,0.99
"1-0.15-1e+05-1.25e-07-fleg-pruned",0,0.15,1,"fleg-pruned",1.25e-07,1e+05,0,0,0.2,500,0
"1-0.15-1e+05-1.25e-07-fleg-pruned",1,0.15,1,"fleg-pruned",1.25e-07,1e+05,1,1,1,3523,1
"1-0.15-1e+05-1.25e-07-fleg-pruned",2,0.15,1,"fleg-pruned",1.25e-07,1e+05,0.14,0.15,1,73290,1
"1-0.15-1e+05-1.25e-08-fleg-pruned",0,0.15,1,"fleg-pruned",1.25e-08,1e+05,0,0,0.19,500,0
"1-0.15-1e+05-1.25e-08-fleg-pruned",1,0.15,1,"fleg-pruned",1.25e-08,1e+05,0.98,0.98,0.99,3179,0.98
"1-0.15-1e+05-1.25e-08-fleg-pruned",2,0.15,1,"fleg-pruned",1.25e-08,1e+05,0.12,0.16,1,76089,1
"1-0.3-10000-1.25e-07-fleg-pruned",0,0.3,1,"fleg-pruned",1.25e-07,10000,0,0,0.48,500,0
"1-0.3-10000-1.25e-07-fleg-pruned",1,0.3,1,"fleg-pruned",1.25e-07,10000,0.93,0.93,0.96,20106,0.96
"1-0.3-10000-1.25e-07-fleg-pruned",2,0.3,1,"fleg-pruned",1.25e-07,10000,0.13,0.16,1,218551,1
"1-0.3-10000-1.25e-08-fleg-pruned",0,0.3,1,"fleg-pruned",1.25e-08,10000,0,0,0.38,500,0
"1-0.3-10000-1.25e-08-fleg-pruned",1,0.3,1,"fleg-pruned",1.25e-08,10000,0.95,0.95,0.97,17395,0.96
"1-0.3-10000-1.25e-08-fleg-pruned",2,0.3,1,"fleg-pruned",1.25e-08,10000,0.06,0.08,1,198577,1
"1-0.3-1e+05-1.25e-07-fleg-pruned",0,0.3,1,"fleg-pruned",1.25e-07,1e+05,0,0,0.42,500,0
"1-0.3-1e+05-1.25e-07-fleg-pruned",1,0.3,1,"fleg-pruned",1.25e-07,1e+05,0.88,0.88,0.92,3232,0.88
"1-0.3-1e+05-1.25e-07-fleg-pruned",2,0.3,1,"fleg-pruned",1.25e-07,1e+05,0.04,0.06,0.98,57051,0.98
"1-0.3-1e+05-1.25e-08-fleg-pruned",0,0.3,1,"fleg-pruned",1.25e-08,1e+05,0,0,0.32,500,0
"1-0.3-1e+05-1.25e-08-fleg-pruned",1,0.3,1,"fleg-pruned",1.25e-08,1e+05,1,1,1,3083,1
"1-0.3-1e+05-1.25e-08-fleg-pruned",2,0.3,1,"fleg-pruned",1.25e-08,1e+05,0.09,0.09,1,73543,1
"1-0.5-10000-1.25e-07-fleg-pruned",0,0.5,1,"fleg-pruned",1.25e-07,10000,0,0,0.46,500,0
"1-0.5-10000-1.25e-07-fleg-pruned",1,0.5,1,"fleg-pruned",1.25e-07,10000,0.82,0.82,0.93,15987,0.86
"1-0.5-10000-1.25e-07-fleg-pruned",2,0.5,1,"fleg-pruned",1.25e-07,10000,0.06,0.09,0.99,172640,0.98
"1-0.5-10000-1.25e-08-fleg-pruned",0,0.5,1,"fleg-pruned",1.25e-08,10000,0,0,0.39,500,0
"1-0.5-10000-1.25e-08-fleg-pruned",1,0.5,1,"fleg-pruned",1.25e-08,10000,0.96,0.96,0.99,16885,0.98
"1-0.5-10000-1.25e-08-fleg-pruned",2,0.5,1,"fleg-pruned",1.25e-08,10000,0.06,0.09,1,191307,1
"1-0.5-10000-1.25e-08-fleg-pruned",3,0.5,1,"fleg-pruned",1.25e-08,10000,0.15,0.15,1,98444,1
"1-0.5-10000-1.25e-08-fleg-pruned",4,0.5,1,"fleg-pruned",1.25e-08,10000,0,0,1,131753,1
"1-0.5-1e+05-1.25e-07-fleg-pruned",0,0.5,1,"fleg-pruned",1.25e-07,1e+05,0,0,0.4,500,0
"1-0.5-1e+05-1.25e-07-fleg-pruned",1,0.5,1,"fleg-pruned",1.25e-07,1e+05,0.77,0.77,0.81,2411,0.77
"1-0.5-1e+05-1.25e-07-fleg-pruned",2,0.5,1,"fleg-pruned",1.25e-07,1e+05,0.05,0.06,0.92,40792,0.89
"1-0.5-1e+05-1.25e-07-fleg-pruned",3,0.5,1,"fleg-pruned",1.25e-07,1e+05,0.1,0.1,0.95,33457,0.95
"1-0.5-1e+05-1.25e-07-fleg-pruned",4,0.5,1,"fleg-pruned",1.25e-07,1e+05,0,0,1,46611,1
"1-0.5-1e+05-1.25e-08-fleg-pruned",0,0.5,1,"fleg-pruned",1.25e-08,1e+05,0,0,0.37,500,0
"1-0.5-1e+05-1.25e-08-fleg-pruned",1,0.5,1,"fleg-pruned",1.25e-08,1e+05,0.99,0.99,1,4592,0.99
"1-0.5-1e+05-1.25e-08-fleg-pruned",2,0.5,1,"fleg-pruned",1.25e-08,1e+05,0.06,0.1,1,80848,0.99
"1-0.5-1e+05-1.25e-08-fleg-pruned",3,0.5,1,"fleg-pruned",1.25e-08,1e+05,0.1,0.1,1,59868,1
"1-0.5-1e+05-1.25e-08-fleg-pruned",4,0.5,1,"fleg-pruned",1.25e-08,1e+05,0,0,1,86168,1
"1-0.7-10000-1.25e-07-fleg-pruned",0,0.7,1,"fleg-pruned",1.25e-07,10000,0,0,0.38,503,0
"1-0.7-10000-1.25e-07-fleg-pruned",1,0.7,1,"fleg-pruned",1.25e-07,10000,0.83,0.83,0.86,14556,0.83
"1-0.7-10000-1.25e-07-fleg-pruned",2,0.7,1,"fleg-pruned",1.25e-07,10000,0.09,0.1,0.97,169546,0.99
"1-0.7-10000-1.25e-08-fleg-pruned",0,0.7,1,"fleg-pruned",1.25e-08,10000,0,0,0.4,504,0
"1-0.7-10000-1.25e-08-fleg-pruned",1,0.7,1,"fleg-pruned",1.25e-08,10000,0.88,0.88,0.96,17843,0.93
"1-0.7-10000-1.25e-08-fleg-pruned",2,0.7,1,"fleg-pruned",1.25e-08,10000,0.06,0.09,1,205279,0.99
"1-0.7-10000-1.25e-08-fleg-pruned",3,0.7,1,"fleg-pruned",1.25e-08,10000,0.0612244897959184,0.0612244897959184,1,243466,1
"1-0.7-10000-1.25e-08-fleg-pruned",4,0.7,1,"fleg-pruned",1.25e-08,10000,0.0208333333333333,0.0208333333333333,1,327575,1
"1-0.7-1e+05-1.25e-07-fleg-pruned",0,0.7,1,"fleg-pruned",1.25e-07,1e+05,0,0,0.47,500,0
"1-0.7-1e+05-1.25e-07-fleg-pruned",1,0.7,1,"fleg-pruned",1.25e-07,1e+05,0.49,0.49,0.56,2036,0.49
"1-0.7-1e+05-1.25e-07-fleg-pruned",2,0.7,1,"fleg-pruned",1.25e-07,1e+05,0.05,0.09,0.69,31959,0.63
"1-0.7-1e+05-1.25e-07-fleg-pruned",3,0.7,1,"fleg-pruned",1.25e-07,1e+05,0.0196078431372549,0.0196078431372549,0.901960784313726,51068,0.843137254901961
"1-0.7-1e+05-1.25e-07-fleg-pruned",4,0.7,1,"fleg-pruned",1.25e-07,1e+05,0,0,1,83714,0.98
"1-0.7-1e+05-1.25e-08-fleg-pruned",0,0.7,1,"fleg-pruned",1.25e-08,1e+05,0,0,0.4,500,0
"1-0.7-1e+05-1.25e-08-fleg-pruned",1,0.7,1,"fleg-pruned",1.25e-08,1e+05,0.96,0.96,0.99,4312,0.97
"1-0.7-1e+05-1.25e-08-fleg-pruned",2,0.7,1,"fleg-pruned",1.25e-08,1e+05,0.06,0.1,1,80716,1
"1-0.7-1e+05-1.25e-08-fleg-pruned",3,0.7,1,"fleg-pruned",1.25e-08,1e+05,0.0588235294117647,0.0588235294117647,1,132331,1
"1-0.7-1e+05-1.25e-08-fleg-pruned",4,0.7,1,"fleg-pruned",1.25e-08,1e+05,0,0,1,204907,1
"10-0-10000-1.25e-07-fleg-pruned",0,0,10,"fleg-pruned",1.25e-07,10000,0,0,0.98,500,0
"10-0-10000-1.25e-07-fleg-pruned",1,0,10,"fleg-pruned",1.25e-07,10000,0.99,0.99,0.99,15576,0.99
"10-0-10000-1.25e-07-fleg-pruned",2,0,10,"fleg-pruned",1.25e-07,10000,0.07,0.12,1,211946,1
"10-0-10000-1.25e-08-fleg-pruned",0,0,10,"fleg-pruned",1.25e-08,10000,0,0,1,500,0
"10-0-10000-1.25e-08-fleg-pruned",1,0,10,"fleg-pruned",1.25e-08,10000,0.98,0.98,0.99,12869,0.99
"10-0-10000-1.25e-08-fleg-pruned",2,0,10,"fleg-pruned",1.25e-08,10000,0.05,0.08,1,191186,1
"10-0-10000-1.25e-08-fleg-pruned",3,0,10,"fleg-pruned",1.25e-08,10000,0.1,0.1,1,245670,1
"10-0-10000-1.25e-08-fleg-pruned",4,0,10,"fleg-pruned",1.25e-08,10000,0.06,0.06,1,320770,1
"10-0-1e+05-1.25e-07-fleg-pruned",0,0,10,"fleg-pruned",1.25e-07,1e+05,0,0,1,500,0
"10-0-1e+05-1.25e-07-fleg-pruned",1,0,10,"fleg-pruned",1.25e-07,1e+05,1,1,1,2443,1
"10-0-1e+05-1.25e-07-fleg-pruned",2,0,10,"fleg-pruned",1.25e-07,1e+05,0.12,0.2,1,75154,1
"10-0-1e+05-1.25e-07-fleg-pruned",3,0,10,"fleg-pruned",1.25e-07,1e+05,0.32,0.32,1,154310,1
"10-0-1e+05-1.25e-07-fleg-pruned",4,0,10,"fleg-pruned",1.25e-07,1e+05,0.12,0.12,1,216304,1
"10-0-1e+05-1.25e-08-fleg-pruned",0,0,10,"fleg-pruned",1.25e-08,1e+05,0,0,1,500,0
"10-0-1e+05-1.25e-08-fleg-pruned",1,0,10,"fleg-pruned",1.25e-08,1e+05,1,1,1,2700,1
"10-0-1e+05-1.25e-08-fleg-pruned",2,0,10,"fleg-pruned",1.25e-08,1e+05,0.17,0.23,1,70243,1
"10-0-1e+05-1.25e-08-fleg-pruned",3,0,10,"fleg-pruned",1.25e-08,1e+05,0.24,0.24,1,149522,1
"10-0-1e+05-1.25e-08-fleg-pruned",4,0,10,"fleg-pruned",1.25e-08,1e+05,0.0204081632653061,0.0204081632653061,1,230045,1
"10-0.15-10000-1.25e-07-fleg-pruned",0,0.15,10,"fleg-pruned",1.25e-07,10000,0,0,1,500,0
"10-0.15-10000-1.25e-07-fleg-pruned",1,0.15,10,"fleg-pruned",1.25e-07,10000,0.96,0.96,0.98,15384,0.97
"10-0.15-10000-1.25e-07-fleg-pruned",2,0.15,10,"fleg-pruned",1.25e-07,10000,0.13,0.16,1,207136,1
"10-0.15-10000-1.25e-08-fleg-pruned",0,0.15,10,"fleg-pruned",1.25e-08,10000,0,0,0.98,500,0
"10-0.15-10000-1.25e-08-fleg-pruned",1,0.15,10,"fleg-pruned",1.25e-08,10000,0.98,0.98,0.99,13725,0.99
"10-0.15-10000-1.25e-08-fleg-pruned",2,0.15,10,"fleg-pruned",1.25e-08,10000,0.06,0.09,1,210190,1
"10-0.15-1e+05-1.25e-07-fleg-pruned",0,0.15,10,"fleg-pruned",1.25e-07,1e+05,0,0,1,500,0
"10-0.15-1e+05-1.25e-07-fleg-pruned",1,0.15,10,"fleg-pruned",1.25e-07,1e+05,0.98,0.98,0.98,2410,0.98
"10-0.15-1e+05-1.25e-07-fleg-pruned",2,0.15,10,"fleg-pruned",1.25e-07,1e+05,0.13,0.2,1,66155,1
"10-0.15-1e+05-1.25e-08-fleg-pruned",0,0.15,10,"fleg-pruned",1.25e-08,1e+05,0,0,1,500,0
"10-0.15-1e+05-1.25e-08-fleg-pruned",1,0.15,10,"fleg-pruned",1.25e-08,1e+05,1,1,1,1971,1
"10-0.15-1e+05-1.25e-08-fleg-pruned",2,0.15,10,"fleg-pruned",1.25e-08,1e+05,0.17,0.21,1,73449,1
"10-0.3-10000-1.25e-07-fleg-pruned",0,0.3,10,"fleg-pruned",1.25e-07,10000,0,0,0.98,500,0
"10-0.3-10000-1.25e-07-fleg-pruned",1,0.3,10,"fleg-pruned",1.25e-07,10000,0.96,0.96,0.97,14201,0.96
"10-0.3-10000-1.25e-07-fleg-pruned",2,0.3,10,"fleg-pruned",1.25e-07,10000,0.12,0.14,1,192791,1
"10-0.3-10000-1.25e-08-fleg-pruned",0,0.3,10,"fleg-pruned",1.25e-08,10000,0,0,0.98,500,0
"10-0.3-10000-1.25e-08-fleg-pruned",1,0.3,10,"fleg-pruned",1.25e-08,10000,0.95,0.95,1,14700,0.99
"10-0.3-10000-1.25e-08-fleg-pruned",2,0.3,10,"fleg-pruned",1.25e-08,10000,0.16,0.19,1,210308,1
"10-0.3-1e+05-1.25e-07-fleg-pruned",0,0.3,10,"fleg-pruned",1.25e-07,1e+05,0,0,1,500,0
"10-0.3-1e+05-1.25e-07-fleg-pruned",1,0.3,10,"fleg-pruned",1.25e-07,1e+05,0.95,0.95,0.94,2649,0.95
"10-0.3-1e+05-1.25e-07-fleg-pruned",2,0.3,10,"fleg-pruned",1.25e-07,1e+05,0.06,0.11,1,58241,1
"10-0.3-1e+05-1.25e-08-fleg-pruned",0,0.3,10,"fleg-pruned",1.25e-08,1e+05,0,0,1,500,0
"10-0.3-1e+05-1.25e-08-fleg-pruned",1,0.3,10,"fleg-pruned",1.25e-08,1e+05,1,1,1,2227,1
"10-0.3-1e+05-1.25e-08-fleg-pruned",2,0.3,10,"fleg-pruned",1.25e-08,1e+05,0.17,0.25,1,72800,1
"10-0.5-10000-1.25e-07-fleg-pruned",0,0.5,10,"fleg-pruned",1.25e-07,10000,0,0,0.99,500,0
"10-0.5-10000-1.25e-07-fleg-pruned",1,0.5,10,"fleg-pruned",1.25e-07,10000,0.91,0.91,0.92,13904,0.91
"10-0.5-10000-1.25e-07-fleg-pruned",2,0.5,10,"fleg-pruned",1.25e-07,10000,0.12,0.14,0.99,194614,0.99
"10-0.5-10000-1.25e-08-fleg-pruned",0,0.5,10,"fleg-pruned",1.25e-08,10000,0,0,1,500,0
"10-0.5-10000-1.25e-08-fleg-pruned",1,0.5,10,"fleg-pruned",1.25e-08,10000,0.96,0.96,0.97,14423,0.97
"10-0.5-10000-1.25e-08-fleg-pruned",2,0.5,10,"fleg-pruned",1.25e-08,10000,0.15,0.17,1,219856,1
"10-0.5-1e+05-1.25e-07-fleg-pruned",0,0.5,10,"fleg-pruned",1.25e-07,1e+05,0,0,0.99,500,0
"10-0.5-1e+05-1.25e-07-fleg-pruned",1,0.5,10,"fleg-pruned",1.25e-07,1e+05,0.72,0.72,0.72,2134,0.72
"10-0.5-1e+05-1.25e-07-fleg-pruned",2,0.5,10,"fleg-pruned",1.25e-07,1e+05,0.08,0.11,0.94,46637,0.95
"10-0.5-1e+05-1.25e-08-fleg-pruned",0,0.5,10,"fleg-pruned",1.25e-08,1e+05,0,0,1,500,0
"10-0.5-1e+05-1.25e-08-fleg-pruned",1,0.5,10,"fleg-pruned",1.25e-08,1e+05,1,1,1,2135,1
"10-0.5-1e+05-1.25e-08-fleg-pruned",2,0.5,10,"fleg-pruned",1.25e-08,1e+05,0.17,0.28,1,69442,1
"10-0.7-10000-1.25e-07-fleg-pruned",0,0.7,10,"fleg-pruned",1.25e-07,10000,0,0,0.91,500,0
"10-0.7-10000-1.25e-07-fleg-pruned",1,0.7,10,"fleg-pruned",1.25e-07,10000,0.84,0.84,0.88,12312,0.84
"10-0.7-10000-1.25e-07-fleg-pruned",2,0.7,10,"fleg-pruned",1.25e-07,10000,0.03,0.05,0.99,172481,0.98
"10-0.7-10000-1.25e-07-fleg-pruned",3,0.7,10,"fleg-pruned",1.25e-07,10000,0.125,0.125,1,169217,1
"10-0.7-10000-1.25e-07-fleg-pruned",4,0.7,10,"fleg-pruned",1.25e-07,10000,0,0,1,148173,1
"10-0.7-10000-1.25e-08-fleg-pruned",0,0.7,10,"fleg-pruned",1.25e-08,10000,0,0,0.98,500,0
