"paramid","h_search","lindist","nind","net","mutrate","nbiallelic","prop_min_nethw_eq_0","prop_min_hashmatch","prop_min_treehw_eq_0","ngraphs","prop_max_ndisp_eq_2"
"1-0.7-1e+05-1.25e-07-fleg",0,0.7,1,"fleg",1.25e-07,1e+05,0,0,0.08,500,0
"1-0.7-1e+05-1.25e-07-fleg",1,0.7,1,"fleg",1.25e-07,1e+05,0,0,0.28,1052,0.25
"1-0.7-1e+05-1.25e-07-fleg",4,0.7,1,"fleg",1.25e-07,1e+05,0,0,0.96,129790,0.96
"1-0.7-1e+05-1.25e-08-fleg",0,0.7,1,"fleg",1.25e-08,1e+05,0,0,0.12,500,0
"1-0.7-1e+05-1.25e-08-fleg",1,0.7,1,"fleg",1.25e-08,1e+05,0,0,0.39,1307,0.36
"1-0.7-1e+05-1.25e-08-fleg",4,0.7,1,"fleg",1.25e-08,1e+05,0,0,1,253523,1
"10-0-10000-1.25e-07-fleg",0,0,10,"fleg",1.25e-07,10000,0,0,0.31,500,0
"10-0-10000-1.25e-07-fleg",1,0,10,"fleg",1.25e-07,10000,0,0,0.64,9001,0.62
"10-0-10000-1.25e-07-fleg",4,0,10,"fleg",1.25e-07,10000,0,0,1,550481,1
"10-0-10000-1.25e-08-fleg",0,0,10,"fleg",1.25e-08,10000,0,0,0.4,500,0
"10-0-10000-1.25e-08-fleg",1,0,10,"fleg",1.25e-08,10000,0,0,0.72,10298,0.7
"10-0-10000-1.25e-08-fleg",4,0,10,"fleg",1.25e-08,10000,0.01,0.01,1,574545,1
"10-0-1e+05-1.25e-07-fleg",0,0,10,"fleg",1.25e-07,1e+05,0,0,0.14,500,0
"10-0-1e+05-1.25e-07-fleg",1,0,10,"fleg",1.25e-07,1e+05,0,0,0,507,0
"10-0-1e+05-1.25e-07-fleg",4,0,10,"fleg",1.25e-07,1e+05,0.03,0,1,212336,1
"10-0-1e+05-1.25e-08-fleg",0,0,10,"fleg",1.25e-08,1e+05,0,0,0.54,500,0
"10-0-1e+05-1.25e-08-fleg",1,0,10,"fleg",1.25e-08,1e+05,0,0,0,526,0
"10-0-1e+05-1.25e-08-fleg",4,0,10,"fleg",1.25e-08,1e+05,0.05,0,1,205429,1
"10-0.15-10000-1.25e-07-fleg",0,0.15,10,"fleg",1.25e-07,10000,0,0,0.47,500,0
"10-0.15-10000-1.25e-07-fleg",1,0.15,10,"fleg",1.25e-07,10000,0,0,0.69,9546,0.67
"10-0.15-10000-1.25e-07-fleg",4,0.15,10,"fleg",1.25e-07,10000,0.01,0,1,558000,1
"10-0.15-10000-1.25e-08-fleg",0,0.15,10,"fleg",1.25e-08,10000,0,0,0.41,500,0
"10-0.15-10000-1.25e-08-fleg",1,0.15,10,"fleg",1.25e-08,10000,0,0,0.65,8314,0.63
"10-0.15-10000-1.25e-08-fleg",4,0.15,10,"fleg",1.25e-08,10000,0,0,1,538632,1
"10-0.15-1e+05-1.25e-07-fleg",0,0.15,10,"fleg",1.25e-07,1e+05,0,0,0.2,500,0
"10-0.15-1e+05-1.25e-07-fleg",1,0.15,10,"fleg",1.25e-07,1e+05,0,0,0,520,0
"10-0.15-1e+05-1.25e-07-fleg",4,0.15,10,"fleg",1.25e-07,1e+05,0.03,0,1,185976,1
"10-0.15-1e+05-1.25e-08-fleg",0,0.15,10,"fleg",1.25e-08,1e+05,0,0,0.42,500,0
"10-0.15-1e+05-1.25e-08-fleg",1,0.15,10,"fleg",1.25e-08,1e+05,0,0,0,517,0
"10-0.15-1e+05-1.25e-08-fleg",4,0.15,10,"fleg",1.25e-08,1e+05,0.02,0,1,204179,1
"10-0.3-10000-1.25e-07-fleg",0,0.3,10,"fleg",1.25e-07,10000,0,0,0.35,500,0
"10-0.3-10000-1.25e-07-fleg",1,0.3,10,"fleg",1.25e-07,10000,0,0,0.62,8844,0.59
"10-0.3-10000-1.25e-07-fleg",4,0.3,10,"fleg",1.25e-07,10000,0.01,0,1,545827,1
"10-0.3-10000-1.25e-08-fleg",0,0.3,10,"fleg",1.25e-08,10000,0,0,0.46,500,0
"10-0.3-10000-1.25e-08-fleg",1,0.3,10,"fleg",1.25e-08,10000,0,0,0.7,10170,0.68
"10-0.3-10000-1.25e-08-fleg",4,0.3,10,"fleg",1.25e-08,10000,0,0,1,561465,1
"10-0.3-1e+05-1.25e-07-fleg",0,0.3,10,"fleg",1.25e-07,1e+05,0,0,0.27,500,0
"10-0.3-1e+05-1.25e-07-fleg",1,0.3,10,"fleg",1.25e-07,1e+05,0,0,0,554,0
"10-0.3-1e+05-1.25e-07-fleg",4,0.3,10,"fleg",1.25e-07,1e+05,0.04,0,1,167641,1
"10-0.3-1e+05-1.25e-08-fleg",0,0.3,10,"fleg",1.25e-08,1e+05,0,0,0.48,500,0
"10-0.3-1e+05-1.25e-08-fleg",1,0.3,10,"fleg",1.25e-08,1e+05,0,0,0,520,0
"10-0.3-1e+05-1.25e-08-fleg",4,0.3,10,"fleg",1.25e-08,1e+05,0.04,0.01,1,206194,1
"10-0.5-10000-1.25e-07-fleg",0,0.5,10,"fleg",1.25e-07,10000,0,0,0.34,500,0
"10-0.5-10000-1.25e-07-fleg",1,0.5,10,"fleg",1.25e-07,10000,0,0,0.51,7601,0.49
"10-0.5-10000-1.25e-07-fleg",4,0.5,10,"fleg",1.25e-07,10000,0,0,1,524075,1
"10-0.5-10000-1.25e-08-fleg",0,0.5,10,"fleg",1.25e-08,10000,0,0,0.51,500,0
"10-0.5-10000-1.25e-08-fleg",1,0.5,10,"fleg",1.25e-08,10000,0,0,0.7,8616,0.67
"10-0.5-10000-1.25e-08-fleg",4,0.5,10,"fleg",1.25e-08,10000,0,0,1,568615,1
"10-0.5-1e+05-1.25e-07-fleg",0,0.5,10,"fleg",1.25e-07,1e+05,0,0,0.33,500,0
