"irep","net","h_search","trueh","level","num_dtrees","num_mincyclesize3","gamma","ngraphs","min_nethw","atleastonehashmatch","min_treehw","max_ndisplayed","mean_ndisplayed","relativell"
1,"g2-l2-n04","1",2,"2","3","0","large",5,2,FALSE,2,1,0.6,-2.12066084064507
1,"g2-l2-n04","2",2,"2","3","0","large",5,2,FALSE,2,1,1,7.43904734738244
1,"g2-l2-n44","0",2,"2","4","0","large",5,4,FALSE,0,1,0.4,-172.766179593373
1,"g2-l2-n44","1",2,"2","4","0","large",5,4,FALSE,0,2,1.2,-12.6008735788063
1,"g2-l2-n44","2",2,"2","4","0","large",5,2,FALSE,2,1,0.8,2.09809133177461
1,"g2-l2-n46","0",2,"2","4","0","large",5,10,FALSE,4,0,0,-2411.79024882626
1,"g2-l2-n46","1",2,"2","4","0","large",5,2,FALSE,0,2,0.8,-16.052267046991
1,"g2-l2-n46","2",2,"2","4","0","large",5,0,TRUE,0,2,1.6,1.31046800770019
1,"g3-l3-c54","0",3,"3","6","0","large",5,10,FALSE,2,0,0,-2118.77116690617
1,"g3-l3-c54","1",3,"3","6","0","large",5,14,FALSE,4,0,0,-559.734302546964
1,"g3-l3-c54","3",3,"3","6","0","large",5,2,FALSE,2,2,2,3.69494777635558
1,"g3-ntc","0",3,"3","4","1","large",5,12,FALSE,4,0,0,-1948.5256145919
1,"g3-ntc","1",3,"3","4","1","large",5,6,FALSE,0,2,0.8,-108.797799156423
1,"g3-ntc","3",3,"3","4","1","large",5,4,FALSE,2,2,2,10.2786426409688
1,"g3-tc","0",3,"3","6","2","large",5,6,FALSE,2,1,0.4,-244.491313756359
1,"g3-tc","1",3,"3","6","2","large",5,4,FALSE,2,1,1,-7.48373550086532
1,"g3-tc","3",3,"3","6","2","large",5,10,FALSE,2,2,1.6,5.24566009953429
1,"g4-l4-c34","0",4,"4","10","1","large",5,14,FALSE,2,0,0,-2190.5595182806
1,"g4-l4-c34","1",4,"4","10","1","large",5,10,FALSE,2,0,0,-746.026778342525
1,"g4-l4-c34","4",4,"4","10","1","large",5,8,FALSE,0,2,1.6,3.52533529199384
1,"g4-lg","0",4,"4","8","2","large",5,14,FALSE,2,1,0.2,-1552.15207746368
1,"g4-lg","1",4,"4","8","2","large",5,6,FALSE,4,1,0.6,-23.9222916556665
1,"g4-lg","4",4,"4","8","2","large",5,10,FALSE,2,2,0.8,2.92214044316003
1,"g4-sg","0",4,"4","8","2","small",5,12,FALSE,0,1,0.2,-110.245951332538
1,"g4-sg","1",4,"4","8","2","small",5,6,FALSE,0,1,1,-35.517915142717
1,"g4-sg","4",4,"4","8","2","small",5,12,FALSE,0,2,1,4.53795173448788
2,"g1-l1-c3","0",1,"1","1","1","large",5,2,FALSE,0,1,0.2,2.71343912038404
2,"g1-l1-c3","1",1,"1","1","1","large",5,4,FALSE,0,1,1,7.21216901412886
2,"g1-l1-c3","2",1,"1","1","1","large",5,4,FALSE,0,1,0.6,14.9772142209784
2,"g1-lg","0",1,"1","2","0","large",5,2,FALSE,0,1,0.4,-5.81784731924572
2,"g1-lg","1",1,"1","2","0","large",5,0,TRUE,0,2,1.6,4.76887553693786
2,"g1-lg","2",1,"1","2","0","large",5,2,FALSE,0,2,1.6,8.82480733183053
2,"g1-sg","0",1,"1","2","0","small",5,2,FALSE,2,1,0.2,-3.33674990029363
2,"g1-sg","1",1,"1","2","0","small",5,0,TRUE,0,2,1.6,4.04684721820995
2,"g1-sg","2",1,"1","2","0","small",5,4,FALSE,0,1,1,8.64740135081234
2,"g2-l1-c33","0",2,"1","1","2","large",5,4,FALSE,0,1,0.2,3.20574295702985
2,"g2-l1-c33","1",2,"1","1","2","large",5,8,FALSE,0,1,1,5.53071141645186
2,"g2-l1-c33","2",2,"1","1","2","large",5,10,FALSE,0,1,0.4,8.9362757624537
