"irep","net","h_search","trueh","level","num_dtrees","num_mincyclesize3","gamma","ngraphs","min_nethw","atleastonehashmatch","min_treehw","max_ndisplayed","mean_ndisplayed","relativell"
1,"g4-sg","4",4,"4","8","2","small",2160,4,FALSE,0,2,1.1162037037037,4.53795173448788
2,"g1-l1-c3","0",1,"1","1","1","large",5,2,FALSE,0,1,0.2,2.71343912038404
2,"g1-l1-c3","1",1,"1","1","1","large",123,0,TRUE,0,2,0.959349593495935,7.21216901412886
2,"g1-l1-c3","2",1,"1","1","1","large",1151,2,FALSE,0,2,0.835794960903562,14.9772142209784
2,"g1-lg","0",1,"1","2","0","large",5,2,FALSE,0,1,0.4,-5.81784731924572
2,"g1-lg","1",1,"1","2","0","large",33,0,TRUE,0,2,0.96969696969697,4.76887553693786
2,"g1-lg","2",1,"1","2","0","large",707,2,FALSE,0,2,1.27722772277228,8.82480733183053
2,"g1-sg","0",1,"1","2","0","small",5,2,FALSE,2,1,0.2,-3.33674990029363
2,"g1-sg","1",1,"1","2","0","small",113,0,TRUE,0,2,0.938053097345133,4.04684721820995
2,"g1-sg","2",1,"1","2","0","small",1487,0,TRUE,0,2,1.07061197041022,8.64740135081234
2,"g2-l1-c33","0",2,"1","1","2","large",5,4,FALSE,0,1,0.2,3.20574295702985
2,"g2-l1-c33","1",2,"1","1","2","large",122,2,FALSE,0,2,0.983606557377049,5.53071141645186
2,"g2-l1-c33","2",2,"1","1","2","large",2428,2,FALSE,0,2,0.936985172981878,8.9362757624537
2,"g2-l1-c43","0",2,"1","2","1","large",5,4,FALSE,0,1,0.4,-6.0737981797756
2,"g2-l1-c43","1",2,"1","2","1","large",22,2,FALSE,0,2,1.13636363636364,7.17153228505716
2,"g2-l1-c43","2",2,"1","2","1","large",581,2,FALSE,0,2,1.15318416523236,13.7134725152336
2,"g2-l1-c44","0",2,"1","4","0","large",5,4,FALSE,0,1,0.4,-27.8156795019339
2,"g2-l1-c44","1",2,"1","4","0","large",9,2,FALSE,0,2,1.33333333333333,-5.58728538056928
2,"g2-l1-c44","2",2,"1","4","0","large",392,0,TRUE,0,2,1.32908163265306,4.21324825877929
2,"g2-l1-c45","0",2,"1","4","0","large",5,4,FALSE,0,1,0.4,-274.427827465542
2,"g2-l1-c45","1",2,"1","4","0","large",6,2,FALSE,0,1,0.666666666666667,-17.9102663436095
2,"g2-l1-c45","2",2,"1","4","0","large",23,0,TRUE,0,2,1.17391304347826,7.00433504167941
2,"g2-l2-g33","0",2,"2","2","2","large",5,4,FALSE,0,1,0.4,-7.27306928245591
2,"g2-l2-g33","1",2,"2","2","2","large",38,2,FALSE,0,2,0.947368421052632,3.99901728110705
2,"g2-l2-g33","2",2,"2","2","2","large",681,0,TRUE,0,2,1.26872246696035,10.1711736349816
2,"g2-l2-g46","0",2,"2","4","0","large",5,10,FALSE,6,0,0,-2417.87352389955
2,"g2-l2-g46","1",2,"2","4","0","large",5,2,FALSE,0,1,0.6,-20.7104864941241
2,"g2-l2-g46","2",2,"2","4","0","large",13,0,TRUE,0,2,1.23076923076923,2.90122131125647
2,"g2-l2-n04","0",2,"2","3","0","large",5,8,FALSE,2,0,0,-465.950106718831
2,"g2-l2-n04","1",2,"2","3","0","large",5,2,FALSE,2,1,0.6,-3.94785286744483
2,"g2-l2-n04","2",2,"2","3","0","large",161,0,TRUE,0,2,0.981366459627329,1.55809304721083
2,"g2-l2-n44","0",2,"2","4","0","large",5,4,FALSE,0,1,0.4,-206.604980803268
2,"g2-l2-n44","1",2,"2","4","0","large",5,4,FALSE,2,1,0.2,-11.186170582553
2,"g2-l2-n44","2",2,"2","4","0","large",37,0,TRUE,0,2,0.432432432432432,4.74069900962062
2,"g2-l2-n46","0",2,"2","4","0","large",5,10,FALSE,4,0,0,-2293.87996122773
