fourtaxa,split,splitcode,h1,h2,g1,g2,g3
africa_east-africa_west-chimp-denisovan,africa_east-africa_west|chimp-denisovan,12_34,0,0,,,
africa_east-africa_west-chimp-neanderthal_east,africa_east-africa_west|chimp-neanderthal_east,12_34,0,0,,,
africa_east-africa_west-chimp-neanderthal_west,africa_east-africa_west|chimp-neanderthal_west,12_34,0,0,,,
africa_east-africa_west-chimp-non_africa_east,africa_east-non_africa_east|africa_west-chimp,14_23,0,0,,,
africa_east-africa_west-chimp-non_africa_west,africa_east-non_africa_west|africa_west-chimp,14_23,0,0,,,
africa_east-africa_west-denisovan-neanderthal_east,africa_east-africa_west|denisovan-neanderthal_east,12_34,0,0,,,
africa_east-africa_west-denisovan-neanderthal_west,africa_east-africa_west|denisovan-neanderthal_west,12_34,0,0,,,
africa_east-africa_west-denisovan-non_africa_east,africa_east-non_africa_east|africa_west-denisovan,14_23,0,0,,,
africa_east-africa_west-denisovan-non_africa_west,africa_east-non_africa_west|africa_west-denisovan,14_23,0,0,,,
africa_east-africa_west-neanderthal_east-neanderthal_west,africa_east-africa_west|neanderthal_east-neanderthal_west,12_34,0,0,,,
africa_east-africa_west-neanderthal_east-non_africa_east,africa_east-non_africa_east|africa_west-neanderthal_east,14_23,0,0,,,
africa_east-africa_west-neanderthal_east-non_africa_west,africa_east-non_africa_west|africa_west-neanderthal_east,14_23,0,0,,,
africa_east-africa_west-neanderthal_west-non_africa_east,africa_east-non_africa_east|africa_west-neanderthal_west,14_23,0,0,,,
africa_east-africa_west-neanderthal_west-non_africa_west,africa_east-non_africa_west|africa_west-neanderthal_west,14_23,0,0,,,
africa_east-africa_west-non_africa_east-non_africa_west,africa_east-africa_west|non_africa_east-non_africa_west,12_34,0,0,,,
africa_east-chimp-denisovan-neanderthal_east,,,1,1,0.52,,
africa_east-chimp-denisovan-neanderthal_west,,,1,1,0.52,,
africa_east-chimp-denisovan-non_africa_east,africa_east-non_africa_east|chimp-denisovan,14_23,0,0,,,
africa_east-chimp-denisovan-non_africa_west,africa_east-non_africa_west|chimp-denisovan,14_23,0,0,,,
africa_east-chimp-neanderthal_east-neanderthal_west,africa_east-chimp|neanderthal_east-neanderthal_west,12_34,0,0,,,
africa_east-chimp-neanderthal_east-non_africa_east,africa_east-non_africa_east|chimp-neanderthal_east,14_23,0,0,,,
africa_east-chimp-neanderthal_east-non_africa_west,africa_east-non_africa_west|chimp-neanderthal_east,14_23,0,0,,,
africa_east-chimp-neanderthal_west-non_africa_east,africa_east-non_africa_east|chimp-neanderthal_west,14_23,0,0,,,
africa_east-chimp-neanderthal_west-non_africa_west,africa_east-non_africa_west|chimp-neanderthal_west,14_23,0,0,,,
africa_east-chimp-non_africa_east-non_africa_west,africa_east-chimp|non_africa_east-non_africa_west,12_34,0,0,,,
africa_east-denisovan-neanderthal_east-neanderthal_west,africa_east-denisovan|neanderthal_east-neanderthal_west,12_34,0,0,,,
africa_east-denisovan-neanderthal_east-non_africa_east,africa_east-non_africa_east|denisovan-neanderthal_east,14_23,0,0,,,
africa_east-denisovan-neanderthal_east-non_africa_west,africa_east-non_africa_west|denisovan-neanderthal_east,14_23,0,0,,,
africa_east-denisovan-neanderthal_west-non_africa_east,africa_east-non_africa_east|denisovan-neanderthal_west,14_23,0,0,,,
africa_east-denisovan-neanderthal_west-non_africa_west,africa_east-non_africa_west|denisovan-neanderthal_west,14_23,0,0,,,
africa_east-denisovan-non_africa_east-non_africa_west,africa_east-denisovan|non_africa_east-non_africa_west,12_34,0,0,,,
africa_east-neanderthal_east-neanderthal_west-non_africa_east,africa_east-non_africa_east|neanderthal_east-neanderthal_west,14_23,0,0,,,
africa_east-neanderthal_east-neanderthal_west-non_africa_west,africa_east-non_africa_west|neanderthal_east-neanderthal_west,14_23,0,0,,,
africa_east-neanderthal_east-non_africa_east-non_africa_west,africa_east-neanderthal_east|non_africa_east-non_africa_west,12_34,0,0,,,
africa_east-neanderthal_west-non_africa_east-non_africa_west,africa_east-neanderthal_west|non_africa_east-non_africa_west,12_34,0,0,,,
africa_west-chimp-denisovan-neanderthal_east,,,1,1,0.52,,
africa_west-chimp-denisovan-neanderthal_west,,,1,1,0.52,,
africa_west-chimp-denisovan-non_africa_east,africa_west-non_africa_east|chimp-denisovan,14_23,0,0,,,
africa_west-chimp-denisovan-non_africa_west,africa_west-non_africa_west|chimp-denisovan,14_23,0,0,,,
africa_west-chimp-neanderthal_east-neanderthal_west,africa_west-chimp|neanderthal_east-neanderthal_west,12_34,0,0,,,
africa_west-chimp-neanderthal_east-non_africa_east,africa_west-non_africa_east|chimp-neanderthal_east,14_23,0,0,,,
africa_west-chimp-neanderthal_east-non_africa_west,africa_west-non_africa_west|chimp-neanderthal_east,14_23,0,0,,,
africa_west-chimp-neanderthal_west-non_africa_east,africa_west-non_africa_east|chimp-neanderthal_west,14_23,0,0,,,
africa_west-chimp-neanderthal_west-non_africa_west,africa_west-non_africa_west|chimp-neanderthal_west,14_23,0,0,,,
africa_west-chimp-non_africa_east-non_africa_west,africa_west-chimp|non_africa_east-non_africa_west,12_34,0,0,,,
africa_west-denisovan-neanderthal_east-neanderthal_west,africa_west-denisovan|neanderthal_east-neanderthal_west,12_34,0,0,,,
africa_west-denisovan-neanderthal_east-non_africa_east,africa_west-non_africa_east|denisovan-neanderthal_east,14_23,0,0,,,
africa_west-denisovan-neanderthal_east-non_africa_west,africa_west-non_africa_west|denisovan-neanderthal_east,14_23,0,0,,,
africa_west-denisovan-neanderthal_west-non_africa_east,africa_west-non_africa_east|denisovan-neanderthal_west,14_23,0,0,,,
africa_west-denisovan-neanderthal_west-non_africa_west,africa_west-non_africa_west|denisovan-neanderthal_west,14_23,0,0,,,
africa_west-denisovan-non_africa_east-non_africa_west,africa_west-denisovan|non_africa_east-non_africa_west,12_34,0,0,,,
africa_west-neanderthal_east-neanderthal_west-non_africa_east,africa_west-non_africa_east|neanderthal_east-neanderthal_west,14_23,0,0,,,
